 Stock Code ,Stock location,,
,,,
 G2134 Bottle/White/Gold ,1GQ52 Harvey Backpack,,
 G2134 Navy/Red/White ,1GQ32 Harvey Backpack,,
 G2134 Royal/White/Gold ,1GQ42 Harvey Backpack,,
 G2138 Black ,1GW11,,
 G2138 Black/Tan ,1GW21,,
 G2138 Grey ,1GW21,,
 G2138 Navy ,1GW11,,
 G2138 Red ,1GW11/21,,
 G2138 Royal ,1GW21,,
 G2140 Black/Red/Grey ,1GT41 Fraser Backpack,,
 G2140 Navy/Red/Grey ,1GT41 Fraser Backpack,,
 G2143 Black ,1GQ41 Vibe,,
 G2146 Black ,1GC52 Kingsley Hydration,,
 G2147 Black ,1GK42/52 Ciena Back Pack,,
 G2147 Bottle Green ,1GK32 Ciena Back Pack,,
 G2147 Maroon ,1GK42 Ciena Back Pack,,
 G2147 Navy ,1GK32 Ciena Back Pack,,
 G2147 Royal ,1GK42 Ciena Back Pack,,
 G2150 Black ,1GG11 Business Satchel,,
 G2150 Grey ,1GG11/21 Business Satchel,,
 G2150 Navy ,1GG11 Business Satchel,,
 G2150 Red ,1GG21 Business Satchel,,
 G2150 Royal ,1GG11 Business Satchel,,
 G2155 Black/White/Black ,1GAA31/41 Backpack,,
 G2155 Black/White/Royal ,1GAA41 Backpack,,
 G2163 Charcoal/Black ,1GAA31 Backpack,,
 G2163 Lime/Black ,1GAA21 Backpack,,
 G2163 White/Black ,1GAA21/31 Backpack,,
 G2168 Black ,1GI21 Trinity Back Pack,,
 G2168 Bottle Green ,1GI21 Trinity Back Pack,,
 G2168 Maroon ,1GI31 Trinity Back Pack,,
 G2168 Navy ,1GI21/31 Trinity Back Pack,,
 G2168 Royal ,1GI31 Trinity Back Pack,,
 G2169 Black/White/Red ,1GAA11Backpack,,
 G2169 Emerald/Lime/Natural ,1GAA11 Backpack,,
 G2171 Black/White/Black ,1GAA52 Backpack,,
 G2171 Dark Maroon/White/Navy ,1GAA42 Backpack,,
 G2171 Red/White/Navy ,1GAA52 Backpack,,
 G2171 Royal/White/Black ,1GAA52 Backpack,,
 G2172 Black ,1GX12,,
 G2172 Silver ,1GX22,,
 G2183 Black/Black ,1GS21 Oregon,,
 G2183 Black/Navy ,1GS11 Oregon,,
 G2183 Black/Red ,1GS31 Oregon,,
 G2184 Black ,1GW41 Castell Back Pack,,
 G2184 Bottle Green ,1GW31 Castell Back Pack,,
 G2184 Maroon ,1GW31 Castell Back Pack,,
 G2184 Navy ,1GW41 Castell Back Pack,,
 G2184 Royal ,1GW31 Castell Back Pack,,
 G2185 Black/White/Charcoal ,1GP12 Gala,,
 G2185 Black/White/Red ,1GP22 Gala,,
 G2185 Black/White/Royal ,1GP12 Gala,,
 G2186 Black/Aqua/Grey ,1GT52 Mercury,,
 G2186 Black/Orange/Grey ,1GT52 Mercury,,
 G2186 Black/Red/Grey ,1GT52 Mercury,,
 G2187 Black/Red ,1GK31 Surge Slingpack,,
 G2187 Navy/Red ,1GK31 Surge Slingpack,,
 G2187 Navy/white ,1GK31 Surge Slingpack,,
 G2187 Red/Black ,1GK21 Surge Slingpack,,
 G2187 Royal/White ,1GK31 Surge Slingpack,,
 G2188 Black ,1GO21 Tower,,
 G2190 Black/Royal ,1GQ22,,
 G2190 Royal/Dark Grey ,1GQ12,,
 G2195 Black ,1GQ31 Boxy,,
 G2198 Black/Black ,1GT12  Rally Backpack Blk/Blk,,
 G2198 Black/Red ,1GT11 Rally Backpack Blk/Red,,
 G2200 Black ,1GG12 Sports Bag,,
 G2200 Bottle ,1GG42 Sports Bag,,
 G2200 Maroon ,1GG32 Sports Bag,,
 G2200 Navy ,1GG42/52 Sports Bag,,
 G2200 Red ,1GG52 Sports Bag,,
 G2200 Royal ,1GG22 Sports Bag,,
 G2208 Black ,1GC42 Perin,,
 G2208 Navy ,1GC42 Perin,,
 G2209 Black ,1GO11 Belroy,,
 G2209 Navy ,1GO11 Belroy,,
 G2215 Black ,1GC52 Pod,,
 G2328 Black/Black ,1GE12 Backsack w/ Front Pocket,,
 G2328 Navy/Black ,1GE12 Backsack w/ Front Pocket,,
 G2455 Black/Charcoal ,1GH11 Atlas Compendium - See Notes,,
 G2465 Black ,1GH12 Travel Wheel Bag,,
 G2470 Black ,1GX42 Manhattan Trolley Bag,,
 G2500 Grey/White/Black ,1GH31 Carry Back Pack,,
 G2500 Red/White/Black ,1GH41 Carry Back Pack,,
 G2500 Royal/White/Black ,1GH31 Carry Back Pack,,
 G2800 Black ,1GH22 Basic Backpack,,
 G2800 Navy ,1GH32 Basic Backpack,,
 G2800 Royal ,1GH22 Basic Backpack,,
 G3000 Black ,1GH51 Drawstring Kitbag,,
 G3000 Black/Deep Grey ,1GH51 Drawstring Kitbag,,
 G3000 Black/Red ,1GH41 Drawstring Kitbag,,
 G3000 Navy ,1GH41/51 Drawstring Kitbag,,
 G3050 Beige/White/Black ,1GI41 Slingpack,,
 G3050 Orange/White/Black ,1GI51 Slingpack,,
 G3050 Red/White/Black ,1GI51 Slingpack,,
 G3050 Royal/White/Black ,1GI41/51 Slingpack,,
 G3050 Yellow/White/Black ,1GI41 Slingpack,,
 G3100 Black/Grey ,1GH52  2 Panel Backpack,,
 G3100 Black/Orange ,1GH52  2 Panel Backpack,,
 G3100 Black/Red ,1GH52  2 Panel Backpack,,
 G3100 Navy/Sky ,1GH52  2 Panel Backpack,,
 G3112 Black ,1GAA41 Business bag,,
 G3220 Black/Silver/Orange ,1GAA51 Business Bag,,
 G3220 Navy/White/Red ,1GAA51 Business Bag,,
 G3220 Royal/White/Navy ,1GAA51 Business Bag,,
 G3221 Black/Emerald ,1GV52 Synergy Carry Bag-See notes,,
 G3221 Black/Orange ,1GV42 Synergy Carry Bag-See Notes,,
 G3221 Black/Red ,1GV52 Synergy Carry Bag-See Notes,,
 G3222 Black ,1GP52 Nemesis Business Bag,,
 G3223 Black/White/Dark Grey ,1GK41 Calibre Carry Bag,,
 G3223 Black/White/Red ,1GK41 Calibre Carry Bag,,
 G3223 Black/White/Royal ,1GK41 Calibre Carry Bag,,
 G3225 Black/Grey ,1GR31 Alesis Business Bag,,
 G3226 Black/Grey ,1GV12 Magnum,,
 G3230 Black ,1GV32 Lavish,,
 G3255 Marine Blue ,1GI22 Premier Bag,,
 G3335 Black/Black ,1GR12 Cobalt,,
 G3335 Black/Royal ,1GR12 Cobalt,,
 G3337 Black/Black ,1GJ11 Regal,,
 G3337 Black/Dark Grey ,1GJ11 Regal,,
 G3403 Army Green/Brown ,1GG21 Camo Backpack,,
 G3445 Black/White ,1GU12 Runway,,
 G3445 Navy/White ,1GU22 Runway,,
 G3475 Black ,1GO12 Shoe Bag,,
 G3520 Black ,1GI11 Tycoon Backsack,,
 G3520 Black/Red ,1GI11 Tycoon Backsack,,
 G3520 Black/Royal ,1GI11 Tycoon Backsack,,
 G3520 Navy ,1GI11 Tycoon Backsack,,
 G3520 Royal ,1GI11 Tycoon Backsack,,
 G3522 Black/Aqua ,1GP52 Aeon backsack,,
 G3522 Black/Emerald ,1GP52 Aeon backsack,,
 G3522 Black/Red ,1GP52 Aeon backsack,,
 G3527 Black ,1GX31 Devon Store Away Bag,,
 G3532 Black ,1GR42 Bryce Library Bag,,
 G3532 Bottle Green ,1GR52 Bryce Library Bag,,
 G3532 Maroon ,1GR52 Bryce Library Bag,,
 G3532 Navy ,1GR52 Bryce Library Bag,,
 G3532 Red ,1GR42 Bryce Library Bag,,
 G3532 Royal ,1GR42 Bryce Library Bag,,
 G3536 Black ,1GR42 Torrent Excursion Bag,,
 G3536 Bottle Green ,1GR42 Torrent Excursion Bag,,
 G3536 Maroon ,1GR42 Torrent Excursion Bag,,
